title,description,image,image_alt,category,block,
Sharing Perspectives,"Save the date March 20, 2018 for an upcoming panel discussion with women in the computing industry! See <a href=""panel.html"">here</a> for more information.",,,Girls Encoded,CURRENT,
Ada Lovelace Opera,"On November 16, 2017, we hosted a celebration of women in computer science, featuring an opera about Ada Lovelace, the first programmer. For more information, see this <a href=""https://www.eecs.umich.edu/eecs/about/articles/2017/Ada-Lovelace-Opera.html
"" target=""blank"">news write-up</a> and <a href=""https://www.flickr.com/photos/michigan-engineering/sets/72157662715863798/with/38419295346/"" target=""_blank"">pictures</a> of the event.",lovelace.jpg,Ada Lovelace,Girls Encoded,PAST,
Women in Computing Lecture Series,"This lecture series highlights exceptional female researchers and faculty members from many different areas of computer science. It has featured speakers such as Maja Matarić (left), Mary Lou Soffa, and Rosalind Picard. Usually, these lectures are accompanied by an informal social event, allowing women at the University of Michigan to meet and talk with these accomplished women. Information about upcoming speakers can be found on the <a href=""http://www.eecs.umich.edu/eecs/etc/events/cseevents.html"" target=""_blank"">CSE website</a>.",maja.jpg,Maja Matarić,Girls Encoded,CURRENT,
Student-Led Initiatives,"Part of the mission of Girls Encoded is to encourage student-led initiatives that contribute to the recruitment and retention of women and minorities in computer science. This past year, we held a Call for Ideas, and we choose three student proposals to fund. More information about these events and initiatives can be found <a href=""ideas.html"">here</a>.",,,Girls Encoded,PAST,
Power Lunch with JPMorgan Chase & Co.,"On September 15, 2016, University of Michigan students had the opportunity to have <a href=""files/power_lunch.pdf"" target=""_blank"">lunch with software engineers from JPMorgan Chase & Co</a>. The focus of the event was “Women in Technology: Opportunities and Challenges,” and the discussion centered around strategies for women to succeed in technical fields. The engineers present were candid about their experiences in the workplace, and they addressed many questions that audience members had.",,,Girls Encoded,PAST,
Influence Panel - “Women in Computing: There Are No Limits!”,"This <a href=""files/influencePanel.pdf"" target=""_blank"">industry panel</a> featured panelists from Duo Security, Google, IBM Watson Health Stryker, and Toyota Research Institute. Many students were in attendance, and there was a lively discussion about both the benefits and challenges of a career in computer science. Panelists came from diverse sectors of industry and were able to offer advice and encouragement to computer science students. A more detailed write-up of this event can be found <a href=""http://bec.umich.edu/success-stories/industry-support-for-women-in-computing"" target=""_blank"">here</a>.",,,Girls Encoded,PAST,
Girls Encoded High School Event,"Girls Encoded, which took place on April 9, 2016, was an exciting all-day event designed to educate and encourage high school girls to study computer science. The day was filled with hands-on activities, panel discussions, and U of M CSE lab tours. It provided the perfect opportunity for any girl wanting to learn more about the exciting things computer science has to offer. More information about the event can be found <a href=""high_school.html"" target=""_blank"">here</a>.",girls_encoded_2.JPG,A volunteer helping a high school student at Girls Encoded,Girls Encoded,PAST,
CS KickStart,"CS KickStart is an intensive one-week program at the U of M designed to help incoming freshmen women explore computer science in hopes of recruiting them into the field. The week includes programming labs, faculty speakers, an industry panel, a field trip to a local tech company, and networking opportunities. The program aims to show participants the various possibilities in the field of computer science, help participants gain knowledge and experience which will give them more confidence in their future engineering classes, and help participants build a network of support through mentors and peers. Details are available at the <a href=""http://cskickstart.eecs.umich.edu/"" target=""_blank"">CS KickStart website</a>.",cskickstart.png,CS Kickstart Logo,Girls Encoded,AFFILIATED,
GEECS,"Girls in Electric Engineering and Computer Science, GEECS for short, was founded in 2002. They are a student-run organization at the University of Michigan dedicated to encouraging the professional, academic, and social development of women in technology-related fields of study. In an effort to promote the education and success of technologically inclined women, GEECS reaches out to women ranging from middle school girls to graduate students. More information about their events and how to get involved can be found on their <a href=""http://vhosts.eecs.umich.edu/geecs/"" target=""_blank"">website</a>.",geecs.png,GEECS Logo,Girls Encoded,AFFILIATED,
ECSEL,"ECSEL, the Ensemble of CSE Ladies, is a group to support graduate women students in CSE at the University of Michigan. They aim to foster a sense of community among graduate women, support members' academic and career development, help incoming graduate students adapt and thrive in CSE, and generally enable a great graduate experience for members. They hold get-togethers, study sessions, talks, and workshops. More information about their events and how to get involved can be found on their <a href=""http://ecsel.eecs.umich.edu/"" target=""_blank"">website</a>.",ecsel.png,ECSEL Logo,Girls Encoded,AFFILIATED,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,